hygiene_dns.ts,hygiene_dns.hour_of_day,hygiene_dns.day_of_week,hygiene_dns.uid,hygiene_dns.orig_host,hygiene_dns.orig_port,hygiene_dns.resp_host,hygiene_dns.resp_port,hygiene_dns.qtype_name,hygiene_dns.query,hygiene_dns.answers,hygiene_dns.ttls,hygiene_dns.registered_domain,hygiene_dns.tld,hygiene_dns.local_orig,hygiene_dns.local_resp,hygiene_dns.orig_mac,hygiene_dns.resp_mac,hygiene_dns.ds
1537858880.7792,0,Tue,CLV4jU2rSvAk3RaQ2e,134.968.38.940,47225,511.792.2.222,53,A,facebook.com,31.13.70.36,296.000000,facebook.com,com,T,T,-,-,2018-09-25
1537858939.663167,0,Tue,CukCx83rEC4fYyAQag,134.968.69.91,27595,511.792.2.222,53,A,facebook.com,31.13.70.36,149.000000,facebook.com,com,T,T,-,-,2018-09-25
1537858963.799269,0,Tue,CiTuQg2pYD8ViDZ8W2,134.968.7.325,53073,511.792.2.222,53,A,facebook.com,31.13.70.36,213.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859030.079169,0,Tue,CQrxSJ2KQmc8jDdLLj,134.968.24.47,58050,511.792.2.222,53,A,facebook.com,31.13.70.36,59.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859086.785039,0,Tue,CAi0eN13c7AVVya3U4,134.968.05.483,56285,511.792.2.222,53,A,facebook.com,31.13.70.36,90.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859169.879233,0,Tue,CRVqwi30vZb7Mub0t7,134.968.05.9,57992,511.792.2.222,53,A,facebook.com,31.13.70.36,7.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859206.31113,0,Tue,CTcxrP1OnJro2enaa1,134.968.53.51,54304,511.792.2.222,53,A,facebook.com,157.240.11.35,184.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859399.043225,0,Tue,CkFKSrJiN8c4zCZw7,134.968.59.277,56186,511.792.2.222,53,A,facebook.com,31.13.70.36,76.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859413.705588,0,Tue,CJYAqO3sz7r2ZQZ7L7,134.968.24.28,52150,511.792.2.222,53,A,facebook.com,157.240.11.35,277.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859512.707178,0,Tue,CSaPC12PpeFfjb1wH8,134.968.05.9,51973,511.792.2.222,53,A,facebook.com,31.13.70.36,260.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859761.967163,0,Tue,CYfm5BdtRGjawPipf,134.968.38.37,63742,511.792.2.222,53,A,facebook.com,31.13.70.36,11.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859767.443213,0,Tue,C2VN6x3SF9l66lAmc5,134.968.19.52,61975,511.792.2.222,53,A,facebook.com,31.13.70.36,5.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859798.683199,0,Tue,C0kfpqsY5bVBaVkih,134.968.052.696,42791,511.792.2.222,53,A,facebook.com,157.240.11.35,200.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859799.687193,0,Tue,CJEFvw32oCu6XlJ0T6,134.968.052.696,1878,511.792.2.222,53,A,facebook.com,157.240.11.35,199.000000,facebook.com,com,T,T,-,-,2018-09-25
1537859903.547255,0,Tue,CDxnxu4jHsjHnSNHxg,134.968.47.557,63546,511.792.2.222,53,A,facebook.com,157.240.11.35,169.000000,facebook.com,com,T,T,-,-,2018-09-25
